date,ticker,price
01/10/2010,VOO,108.300003
01/11/2010,VOO,108.18
01/12/2010,VOO,115.139999
01/01/2011,VOO,117.699997
01/02/2011,VOO,121.779999
01/03/2011,VOO,121.239998
01/04/2011,VOO,124.800003
01/05/2011,VOO,123.339996
01/06/2011,VOO,120.68
01/07/2011,VOO,118.199997
01/08/2011,VOO,111.68
01/09/2011,VOO,103.519997
01/10/2011,VOO,114.639999
01/11/2011,VOO,114.300003
01/12/2011,VOO,114.900002
01/01/2012,VOO,120.040001
01/02/2012,VOO,125.18
01/03/2012,VOO,128.740005
01/04/2012,VOO,127.919998
01/05/2012,VOO,120.239998
01/06/2012,VOO,124.559998
01/07/2012,VOO,126.059998
01/08/2012,VOO,129.220001
01/09/2012,VOO,131.839996
01/10/2012,VOO,129.259995
01/11/2012,VOO,130
01/12/2012,VOO,130.380005
01/01/2013,VOO,137.119995
01/02/2013,VOO,138.940002
01/03/2013,VOO,143.279999
01/04/2013,VOO,146.279999
01/05/2013,VOO,149.679993
01/06/2013,VOO,146.679993
01/07/2013,VOO,154.460007
01/08/2013,VOO,149.699997
01/09/2013,VOO,154
01/10/2013,VOO,160.880005
01/11/2013,VOO,165.699997
01/12/2013,VOO,169.149994
01/01/2014,VOO,163.179993
01/02/2014,VOO,170.630005
01/03/2014,VOO,171.350006
01/04/2014,VOO,172.589996
01/05/2014,VOO,176.550003
01/06/2014,VOO,179.429993
01/07/2014,VOO,176.960007
01/08/2014,VOO,183.990005
01/09/2014,VOO,180.589996
01/10/2014,VOO,184.929993
01/11/2014,VOO,190.029999
01/12/2014,VOO,188.399994
01/01/2015,VOO,182.990005
01/02/2015,VOO,193.199997
01/03/2015,VOO,189.199997
01/04/2015,VOO,191.100006
01/05/2015,VOO,193.490005
01/06/2015,VOO,188.839996
01/07/2015,VOO,192.949997
01/08/2015,VOO,181.110001
01/09/2015,VOO,175.710007
01/10/2015,VOO,190.559998
01/11/2015,VOO,191.369995
01/12/2015,VOO,186.929993
01/01/2016,VOO,177.75
01/02/2016,VOO,177.380005
01/03/2016,VOO,188.559998
01/04/2016,VOO,189.220001
01/05/2016,VOO,192.539993
01/06/2016,VOO,192.199997
01/07/2016,VOO,199.279999
01/08/2016,VOO,199.520004
01/09/2016,VOO,198.690002
01/10/2016,VOO,195.130005
01/11/2016,VOO,202.399994
01/12/2016,VOO,205.309998
01/01/2017,VOO,208.970001
01/02/2017,VOO,217.070007
01/03/2017,VOO,216.350006
01/04/2017,VOO,218.600006
01/05/2017,VOO,221.669998
01/06/2017,VOO,222.059998
01/07/2017,VOO,226.639999
01/08/2017,VOO,227.300003
01/09/2017,VOO,230.759995
01/10/2017,VOO,236.130005
01/11/2017,VOO,243.350006
01/12/2017,VOO,245.289993
01/01/2018,VOO,258.98999
01/02/2018,VOO,249.339996
01/03/2018,VOO,242.080002
01/04/2018,VOO,242.919998
01/05/2018,VOO,248.789993
01/06/2018,VOO,249.509995
01/07/2018,VOO,258.399994
01/08/2018,VOO,266.720001
01/09/2018,VOO,267.049988
01/10/2018,VOO,248.789993
01/11/2018,VOO,253.479996
01/12/2018,VOO,229.809998
01/01/2019,VOO,248.009995
01/02/2019,VOO,256.070007
01/03/2019,VOO,259.540009
01/04/2019,VOO,270.01001
01/05/2019,VOO,252.869995
01/06/2019,VOO,269.149994
01/07/2019,VOO,273.079987
01/08/2019,VOO,268.600006
01/09/2019,VOO,272.600006
01/10/2019,VOO,278.549988
01/11/2019,VOO,288.649994
01/12/2019,VOO,295.799988
01/01/2020,VOO,295.690002
01/02/2020,VOO,271.73999
01/03/2020,VOO,236.820007
01/04/2020,VOO,267.100006
01/05/2020,VOO,279.75
01/06/2020,VOO,283.429993
01/07/2020,VOO,300.100006
01/08/2020,VOO,321.019989
01/09/2020,VOO,307.649994
01/10/2020,VOO,299.820007
01/11/2020,VOO,332.640015
01/12/2020,VOO,343.690002
01/01/2021,VOO,340.179993
01/02/2021,VOO,349.589996
01/03/2021,VOO,364.299988
01/04/2021,VOO,383.570007
01/05/2021,VOO,386.130005
01/06/2021,VOO,393.519989
01/07/2021,VOO,403.149994
01/08/2021,VOO,415.049988
01/09/2021,VOO,394.399994
